iter	Passed	Remaining
558	1435	1132
559	1439	1131
560	1441	1128
561	1443	1125
562	1446	1122
563	1448	1119
564	1450	1117
565	1453	1114
566	1455	1111
567	1459	1110
568	1462	1107
569	1464	1105
570	1467	1102
571	1469	1099
572	1472	1097
573	1474	1094
574	1476	1091
575	1478	1088
576	1480	1085
577	1482	1082
578	1484	1079
579	1486	1076
580	1488	1073
581	1491	1070
582	1493	1067
583	1495	1065
584	1497	1062
585	1499	1059
586	1501	1056
587	1503	1053
588	1506	1051
589	1508	1048
590	1510	1045
591	1512	1042
592	1515	1039
593	1516	1036
594	1518	1033
595	1521	1031
596	1523	1028
597	1525	1025
598	1527	1022
599	1529	1019
600	1531	1016
601	1533	1013
602	1535	1011
603	1537	1008
604	1539	1005
605	1541	1002
606	1544	999
607	1546	997
608	1548	994
609	1550	990
610	1552	988
611	1554	985
612	1556	982
613	1558	979
614	1560	977
615	1562	974
616	1565	971
617	1567	968
618	1569	966
619	1571	963
620	1574	960
621	1576	958
622	1578	955
623	1580	952
624	1582	949
625	1585	947
626	1587	944
627	1590	941
628	1592	939
629	1594	936
630	1599	935
631	1601	932
632	1604	930
633	1607	928
634	1609	925
635	1612	922
636	1615	920
637	1618	918
638	1621	916
639	1624	913
640	1632	914
641	1638	913
642	1641	911
643	1644	909
644	1647	906
645	1649	904
646	1652	901
647	1655	899
648	1669	903
649	1671	900
650	1676	898
651	1680	897
652	1683	894
653	1685	891
654	1687	888
655	1689	885
656	1691	883
657	1694	880
658	1696	878
659	1697	874
660	1699	871
661	1700	868
662	1701	864
663	1702	861
664	1704	858
665	1705	855
666	1707	852
667	1709	849
668	1710	846
669	1711	842
670	1712	839
671	1713	836
672	1714	833
673	1715	829
674	1716	826
675	1717	823
676	1719	820
677	1720	817
678	1721	814
679	1723	810
680	1724	807
681	1725	804
682	1726	801
683	1727	797
684	1728	794
685	1729	791
686	1729	788
687	1730	784
688	1733	782
689	1734	779
690	1736	776
691	1737	773
692	1738	770
693	1739	767
694	1740	763
695	1741	760
696	1742	757
697	1743	754
698	1744	751
699	1747	748
700	1749	746
701	1752	743
702	1755	741
703	1758	739
704	1761	737
705	1764	734
706	1768	732
707	1771	730
708	1775	728
709	1778	726
710	1781	724
711	1785	722
712	1787	719
713	1792	717
714	1795	715
715	1798	713
716	1801	711
717	1805	709
718	1808	706
719	1810	704
720	1813	701
721	1816	699
722	1819	696
723	1822	694
724	1825	692
725	1828	689
726	1831	687
727	1833	685
728	1836	682
729	1839	680
730	1842	677
731	1845	675
732	1851	674
733	1853	671
734	1856	669
735	1859	667
736	1862	664
737	1864	661
738	1870	660
739	1873	658
740	1876	655
741	1878	653
742	1880	650
743	1882	647
744	1885	645
745	1887	642
746	1890	640
747	1893	637
748	1895	635
749	1897	632
750	1900	629
751	1902	627
752	1904	624
753	1906	621
754	1908	619
755	1911	616
756	1913	614
757	1915	611
758	1918	609
759	1920	606
760	1922	603
761	1924	601
762	1928	598
763	1930	596
764	1934	594
765	1936	591
766	1938	588
767	1940	586
768	1942	583
769	1944	580
770	1946	578
771	1950	576
772	1953	573
773	1955	571
774	1957	568
775	1960	565
776	1964	563
777	1967	561
778	1969	558
779	1971	555
780	1973	553
781	1975	550
782	1979	548
783	1981	545
784	1983	543
785	1985	540
786	1991	538
787	1994	536
788	1996	533
789	1999	531
790	2001	528
791	2004	526
792	2008	524
793	2010	521
794	2012	518
795	2014	516
796	2016	513
797	2018	511
798	2021	508
799	2024	506
800	2026	503
801	2028	500
802	2030	498
803	2037	496
804	2039	494
805	2041	491
806	2043	488
807	2045	486
808	2049	483
809	2051	481
810	2053	478
811	2055	475
812	2057	473
813	2059	470
814	2061	467
815	2063	465
816	2065	462
817	2067	459
818	2069	457
819	2071	454
820	2073	452
821	2075	449
822	2079	447
823	2081	444
824	2083	442
825	2085	439
826	2088	436
827	2090	434
828	2092	431
829	2094	429
830	2096	426
831	2098	423
832	2100	421
833	2103	418
834	2104	415
835	2110	414
836	2112	411
837	2114	408
838	2117	406
839	2119	403
840	2124	401
841	2126	399
842	2128	396
843	2130	393
844	2132	391
845	2134	388
846	2137	386
847	2139	383
848	2142	380
849	2144	378
850	2146	375
851	2148	373
852	2150	370
853	2155	368
854	2157	365
855	2159	363
856	2161	360
857	2163	358
858	2165	355
859	2167	352
860	2169	350
861	2171	347
862	2173	345
863	2175	342
864	2177	339
865	2179	337
866	2180	334
867	2182	331
868	2184	329
869	2186	326
870	2188	324
871	2190	321
872	2191	318
873	2193	316
874	2195	313
875	2197	311
876	2199	308
877	2200	305
878	2201	303
879	2202	300
880	2203	297
881	2204	294
882	2205	292
883	2206	289
884	2208	286
885	2209	284
886	2211	281
887	2212	279
888	2214	276
889	2216	273
890	2218	271
891	2220	268
892	2221	266
893	2222	263
894	2223	260
895	2224	258
896	2226	255
897	2227	253
898	2228	250
899	2230	247
900	2232	245
901	2234	242
902	2236	240
903	2238	237
904	2240	235
905	2242	232
906	2246	230
907	2251	228
908	2253	225
909	2257	223
910	2259	220
911	2262	218
912	2264	215
913	2266	213
914	2269	210
915	2271	208
916	2274	205
917	2276	203
918	2279	200
919	2281	198
920	2284	195
921	2293	194
922	2295	191
923	2297	189
924	2300	186
925	2302	183
926	2304	181
927	2306	178
928	2308	176
929	2311	173
930	2313	171
931	2315	168
932	2317	166
933	2319	163
934	2321	161
935	2324	158
936	2326	156
937	2328	153
938	2330	151
939	2332	148
940	2335	146
941	2337	143
942	2339	141
943	2341	138
944	2343	136
945	2345	133
946	2347	131
947	2349	128
948	2352	126
949	2355	123
950	2358	121
951	2360	119
952	2363	116
953	2367	114
954	2369	111
955	2372	109
956	2374	106
957	2376	104
958	2379	101
959	2381	99
960	2383	96
961	2385	94
962	2387	91
963	2389	89
964	2392	86
965	2394	84
966	2396	81
967	2398	79
968	2401	76
969	2403	74
970	2409	71
971	2412	69
972	2414	67
973	2417	64
974	2419	62
975	2422	59
976	2424	57
977	2426	54
978	2430	52
979	2432	49
980	2434	47
981	2437	44
982	2439	42
983	2441	39
984	2443	37
985	2445	34
986	2447	32
987	2449	29
988	2451	27
989	2453	24
990	2456	22
991	2458	19
992	2462	17
993	2464	14
994	2467	12
995	2470	9
996	2473	7
997	2476	4
998	2479	2
999	2482	0
